MeterNo,IsSuccessful,CompletedOn
CRYT3033977,True,2025-23-04 15:23:09,
CRYT3017904,True,2025-23-04 15:23:08,
CRYT3043108,True,2025-23-04 15:23:09,
CRYT3151678,True,2025-23-04 15:23:09,
CRYT3159623,False,2025-24-04 15:24:08,Id_124 CRYT3159623 Could not open tcp connection
CRYT3161314,True,2025-23-04 15:23:10,
CRYT3151321,True,2025-23-04 15:23:09,
CRYT3074792,True,2025-23-04 15:23:10,
CRYT3160142,True,2025-23-04 15:23:10,
CRYT3156729,True,2025-23-04 15:23:10,
CRYT3155521,False,2025-24-04 15:24:09,Id_130 CRYT3155521 Could not open tcp connection
CRYT3155729,False,2025-24-04 15:24:09,Id_131 CRYT3155729 Could not open tcp connection
CRYT3154392,True,2025-23-04 15:23:12,
CRYT3158186,True,2025-23-04 15:23:11,
CRYT3030373,True,2025-23-04 15:23:12,
CRYT3032798,True,2025-23-04 15:23:13,
CRYT3040817,True,2025-23-04 15:23:12,
CRYT3072314,True,2025-23-04 15:23:13,
CRYT3026270,True,2025-23-04 15:23:14,
CRYT3033257,True,2025-23-04 15:23:20,
CRYT3018333,True,2025-23-04 15:23:14,
CRYT3031922,True,2025-23-04 15:23:14,
CRYT3042508,True,2025-23-04 15:23:15,
CRYT3036629,True,2025-23-04 15:23:16,
CRYT3163564,False,2025-24-04 15:24:14,Id_144 CRYT3163564 Could not open tcp connection
CRYT3150434,True,2025-23-04 15:23:15,
CRYT3161271,True,2025-23-04 15:23:17,
CRYT3304552,True,2025-23-04 15:23:16,
CRYT3159667,True,2025-23-04 15:23:17,
CRYT3017216,False,2025-24-04 15:24:15,Id_149 CRYT3017216 Could not open tcp connection
CRYT3037664,True,2025-23-04 15:23:18,
CRYT3027061,True,2025-23-04 15:23:18,
CRYT3069431,False,2025-24-04 15:24:17,Id_152 CRYT3069431 Could not open tcp connection
CRYT3067069,True,2025-23-04 15:23:19,
CRYT3072343,True,2025-23-04 15:23:20,
CRYT3030702,True,2025-23-04 15:23:20,
CRYT3158427,True,2025-23-04 15:23:21,
CRYT3157168,True,2025-23-04 15:23:21,
CRYT3160282,True,2025-23-04 15:23:28,
CRYT3158043,True,2025-23-04 15:23:21,
CRYT3150377,True,2025-23-04 15:23:22,
CRYT3037334,True,2025-23-04 15:23:23,
CRYT3028266,True,2025-23-04 15:23:30,
CRYT3150341,True,2025-23-04 15:23:24,
CRYT3161711,False,2025-24-04 15:24:22,Id_164 CRYT3161711 Could not open tcp connection
CRYT3161945,True,2025-23-04 15:23:31,
CRYT3043240,True,2025-23-04 15:23:24,
CRYT3150184,True,2025-23-04 15:23:26,
CRYT3155901,True,2025-23-04 15:23:25,
CRYT3158738,True,2025-23-04 15:23:34,
CRYT3348964,True,2025-23-04 15:23:26,
CRYT3043687,True,2025-23-04 15:23:26,
CRYT3019631,True,2025-23-04 15:23:27,
CRYT3073706,True,2025-23-04 15:23:27,
CRYT3069342,False,2025-24-04 15:24:26,Id_174 CRYT3069342 Could not open tcp connection
CRYT3069273,False,2025-24-04 15:24:26,Id_175 CRYT3069273 Could not open tcp connection
CRYT3066281,True,2025-23-04 15:23:36,
CRYT3071809,True,2025-23-04 15:23:29,
CRYT3073146,True,2025-23-04 15:23:30,
CRYT3043391,True,2025-23-04 15:23:31,
CRYT3028625,True,2025-23-04 15:23:31,
CRYT3032883,True,2025-23-04 15:23:31,
CRYT3325287,True,2025-23-04 15:23:32,
CRYT3025458,True,2025-23-04 15:23:31,
CRYT3153360,True,2025-23-04 15:23:32,
CRYT3158702,True,2025-23-04 15:23:32,
CRYT3032346,True,2025-23-04 15:23:32,
CRYT3016049,True,2025-23-04 15:23:33,
CRYT3068267,True,2025-23-04 15:23:33,
CRYT3164461,True,2025-23-04 15:23:33,
CRYT3158792,True,2025-23-04 15:23:33,
CRYT3027088,True,2025-23-04 15:23:33,
CRYT3033887,True,2025-23-04 15:23:34,
CRYT3027364,True,2025-23-04 15:23:34,
CRYT3071470,True,2025-23-04 15:23:35,
CRYT3066626,True,2025-23-04 15:23:34,
CRYT3065102,True,2025-23-04 15:23:42,
CRYT3040306,True,2025-23-04 15:23:35,
CRYT3033965,False,2025-24-04 15:24:33,Id_198 CRYT3033965 Could not open tcp connection
CRYT3067680,True,2025-23-04 15:23:35,
CRYT3070801,True,2025-23-04 15:23:36,
CRYT3043143,True,2025-23-04 15:23:36,
CRYT3150859,True,2025-23-04 15:23:36,
CRYT3152882,True,2025-23-04 15:23:36,
CRYT3160097,True,2025-23-04 15:23:37,
CRYT3069969,True,2025-23-04 15:23:37,
CRYT3157466,True,2025-23-04 15:23:37,
CRYT3150047,True,2025-23-04 15:23:37,
CRYT3153953,True,2025-23-04 15:23:38,
CRYT3339173,True,2025-23-04 15:23:38,
CRYT3039114,True,2025-23-04 15:23:38,
CRYT3158319,True,2025-23-04 15:23:39,
CRYT3163536,True,2025-23-04 15:23:39,
CRYT3150208,True,2025-23-04 15:23:46,
CRYT3016236,False,2025-24-04 15:24:37,Id_214 CRYT3016236 Could not open tcp connection
CRYT3039443,True,2025-23-04 15:23:40,
CRYT3026827,True,2025-23-04 15:23:39,
CRYT3019564,False,2025-24-04 15:24:38,Id_217 CRYT3019564 Could not open tcp connection
CRYT3156701,True,2025-23-04 15:23:40,
CRYT3157300,True,2025-23-04 15:23:41,
CRYT3156997,True,2025-23-04 15:23:41,
CRYT3151545,True,2025-23-04 15:23:42,
CRYT3159413,True,2025-23-04 15:23:42,
CRYT3074612,True,2025-23-04 15:23:42,
CRYT3155380,True,2025-23-04 15:23:43,
CRYT3037398,True,2025-23-04 15:23:42,
CRYT3069925,True,2025-23-04 15:23:42,
CRYT3069217,False,2025-24-04 15:24:41,Id_227 CRYT3069217 Could not open tcp connection
CRYT3032087,True,2025-23-04 15:23:43,
CRYT3072244,True,2025-23-04 15:23:44,
CRYT3029195,True,2025-23-04 15:23:43,
CRYT3153773,True,2025-23-04 15:23:44,
CRYT3345536,True,2025-23-04 15:23:44,
CRYT3041637,True,2025-23-04 15:23:44,
CRYT3164808,True,2025-23-04 15:23:44,
CRYT3026806,True,2025-23-04 15:23:51,
CRYT3027330,True,2025-24-04 15:24:37,
CRYT3150882,True,2025-23-04 15:23:44,
CRYT3028691,True,2025-23-04 15:23:45,
CRYT3066339,True,2025-23-04 15:23:45,
CRYT3065988,False,2025-24-04 15:24:43,Id_240 CRYT3065988 Could not open tcp connection
CRYT3070255,True,2025-23-04 15:23:46,
CRYT3069235,True,2025-23-04 15:23:46,
CRYT3387329,True,2025-23-04 15:23:53,
CRYT3038907,True,2025-23-04 15:23:47,
CRYT3152231,True,2025-23-04 15:23:47,
CRYT3155009,True,2025-23-04 15:23:46,
CRYT3026053,True,2025-23-04 15:23:46,
CRYT3038680,False,2025-24-04 15:24:45,Id_248 CRYT3038680 Could not open tcp connection
CRYT3074064,True,2025-23-04 15:23:48,
CRYT3040830,True,2025-23-04 15:23:47,
CRYT3071240,True,2025-23-04 15:23:48,
CRYT3071362,True,2025-23-04 15:23:48,
CRYT3159363,True,2025-23-04 15:23:49,
CRYT3153483,False,2025-24-04 15:24:47,Id_254 CRYT3153483 Could not open tcp connection
CRYT3015576,True,2025-23-04 15:23:49,
CRYT3157079,True,2025-23-04 15:23:49,
CRYT3163331,True,2025-23-04 15:23:49,
CRYT3150734,False,2025-24-04 15:24:48,Id_258 CRYT3150734 Could not open tcp connection
CRYT3156304,True,2025-24-04 15:24:12,
CRYT3016379,False,2025-24-04 15:24:48,Id_260 CRYT3016379 Could not open tcp connection
CRYT3041346,True,2025-23-04 15:23:57,
CRYT3016448,True,2025-23-04 15:23:51,
CRYT3066117,True,2025-23-04 15:23:51,
CRYT3069081,False,2025-24-04 15:24:50,Id_264 CRYT3069081 Could not open tcp connection
CRYT3027872,False,2025-24-04 15:24:50,Id_265 CRYT3027872 Could not open tcp connection
CRYT3030197,True,2025-23-04 15:23:52,
CRYT3029876,True,2025-23-04 15:23:53,
CRYT3016382,False,2025-24-04 15:24:51,Id_268 CRYT3016382 Could not open tcp connection
CRYT3151042,True,2025-23-04 15:23:53,
CRYT3035895,True,2025-23-04 15:23:53,
CRYT3015501,True,2025-23-04 15:23:54,
CRYT3025105,True,2025-23-04 15:23:54,
CRYT3016164,True,2025-24-04 15:24:01,
CRYT3039184,True,2025-23-04 15:23:55,
CRYT3067598,True,2025-23-04 15:23:55,
CRYT3071459,True,2025-23-04 15:23:56,
CRYT3033622,True,2025-23-04 15:23:55,
CRYT3159733,True,2025-23-04 15:23:55,
CRYT3151592,False,2025-24-04 15:24:54,Id_279 CRYT3151592 Could not open tcp connection
CRYT3156792,True,2025-23-04 15:23:57,
CRYT3154415,True,2025-24-04 15:24:03,
CRYT3151576,True,2025-23-04 15:23:58,
CRYT3033611,True,2025-23-04 15:23:58,
CRYT3032854,True,2025-23-04 15:23:59,
CRYT3067059,True,2025-23-04 15:23:59,
CRYT3065251,True,2025-23-04 15:23:59,
CRYT3069661,True,2025-23-04 15:23:59,
CRYT3153147,False,2025-24-04 15:24:58,Id_288 CRYT3153147 Could not open tcp connection
CRYT3158431,False,2025-24-04 15:24:58,Id_289 CRYT3158431 Could not open tcp connection
CRYT3158136,True,2025-24-04 15:24:00,
CRYT3074960,False,2025-24-04 15:24:58,Id_291 CRYT3074960 Could not open tcp connection
CRYT3151798,True,2025-23-04 15:23:59,
CRYT3320681,False,2025-24-04 15:24:58,Id_293 CRYT3320681 Could not open tcp connection
CRYT3025852,True,2025-24-04 15:24:00,
CRYT3025834,True,2025-24-04 15:24:08,
CRYT3071662,True,2025-24-04 15:24:02,
CRYT3382401,True,2025-24-04 15:24:01,
CRYT3155221,True,2025-24-04 15:24:01,
CRYT3157287,False,2025-25-04 15:25:00,Id_299 CRYT3157287 Could not open tcp connection
CRYT3160558,False,2025-25-04 15:25:00,Id_300 CRYT3160558 Could not open tcp connection
CRYT3159282,True,2025-24-04 15:24:02,
CRYT3026017,True,2025-24-04 15:24:03,
CRYT3025220,True,2025-24-04 15:24:03,
CRYT3035519,True,2025-24-04 15:24:03,
CRYT3019720,True,2025-24-04 15:24:04,
CRYT3040650,True,2025-24-04 15:24:04,
CRYT3071073,True,2025-24-04 15:24:04,
CRYT3071786,True,2025-24-04 15:24:04,
CRYT3039145,True,2025-24-04 15:24:04,
CRYT3071897,True,2025-24-04 15:24:13,
CRYT3025226,True,2025-24-04 15:24:12,
CRYT3018317,True,2025-24-04 15:24:05,
CRYT3025640,True,2025-24-04 15:24:06,
CRYT3017828,True,2025-24-04 15:24:06,
CRYT3038939,True,2025-24-04 15:24:06,
CRYT3033027,True,2025-24-04 15:24:06,
CRYT3065538,True,2025-24-04 15:24:08,
CRYT3072414,True,2025-24-04 15:24:07,
CRYT3034569,True,2025-24-04 15:24:07,
CRYT3026477,True,2025-24-04 15:24:15,
CRYT3037263,True,2025-24-04 15:24:07,
CRYT3029506,True,2025-24-04 15:24:08,
CRYT3039580,True,2025-24-04 15:24:08,
CRYT3034760,True,2025-24-04 15:24:09,
CRYT3153042,True,2025-24-04 15:24:16,
CRYT3028172,True,2025-24-04 15:24:09,
CRYT3065407,True,2025-24-04 15:24:09,
CRYT3065301,True,2025-24-04 15:24:10,
CRYT3073156,True,2025-24-04 15:24:09,
CRYT3160605,True,2025-24-04 15:24:10,
CRYT3159649,True,2025-24-04 15:24:10,
CRYT3151268,False,2025-25-04 15:25:09,Id_332 CRYT3151268 Could not open tcp connection
CRYT3164991,True,2025-24-04 15:24:17,
CRYT3150583,True,2025-24-04 15:24:10,
CRYT3161587,True,2025-24-04 15:24:11,
CRYT3027509,True,2025-24-04 15:24:12,
CRYT3017427,False,2025-25-04 15:25:10,Id_337 CRYT3017427 Could not open tcp connection
CRYT3025091,False,2025-25-04 15:25:11,Id_338 CRYT3025091 Could not open tcp connection
CRYT3159103,True,2025-24-04 15:24:21,
CRYT3159391,True,2025-24-04 15:24:13,
CRYT3153697,True,2025-24-04 15:24:13,
CRYT3162566,False,2025-25-04 15:25:12,Id_342 CRYT3162566 Could not open tcp connection
CRYT3032710,False,2025-25-04 15:25:12,Id_343 CRYT3032710 Could not open tcp connection
CRYT3037105,True,2025-24-04 15:24:14,
CRYT3067956,True,2025-24-04 15:24:14,
CRYT3067901,True,2025-24-04 15:24:22,
CRYT3161530,True,2025-24-04 15:24:22,
CRYT3159458,True,2025-24-04 15:24:23,
CRYT3151074,True,2025-24-04 15:24:16,
CRYT3151598,False,2025-25-04 15:25:15,Id_350 CRYT3151598 Could not open tcp connection
CRYT3153435,True,2025-24-04 15:24:16,
CRYT3160342,False,2025-25-04 15:25:16,Id_352 CRYT3160342 Could not open tcp connection
CRYT3160480,True,2025-24-04 15:24:18,
CRYT3038272,True,2025-24-04 15:24:18,
CRYT3026456,True,2025-24-04 15:24:19,
CRYT3017923,False,2025-25-04 15:25:17,Id_356 CRYT3017923 Could not open tcp connection
CRYT3030923,True,2025-24-04 15:24:19,
CRYT3025759,True,2025-24-04 15:24:27,
CRYT3015797,True,2025-24-04 15:24:20,
CRYT3027530,True,2025-24-04 15:24:19,
CRYT3162126,True,2025-24-04 15:24:20,
CRYT3151246,True,2025-24-04 15:24:20,
CRYT3151301,True,2025-24-04 15:24:21,
CRYT3151127,True,2025-24-04 15:24:20,
CRYT3044111,True,2025-24-04 15:24:21,
CRYT3065870,True,2025-24-04 15:24:21,
CRYT3066950,True,2025-24-04 15:24:21,
CRYT3068640,True,2025-24-04 15:24:35,
CRYT3029163,True,2025-24-04 15:24:22,
CRYT3032517,True,2025-24-04 15:24:21,
CRYT3150016,True,2025-24-04 15:24:21,
CRYT3031224,True,2025-24-04 15:24:22,
CRYT3164100,True,2025-24-04 15:24:22,
CRYT3066692,True,2025-24-04 15:24:22,
CRYT3033111,False,2025-25-04 15:25:21,Id_375 CRYT3033111 Could not open tcp connection
CRYT3070188,False,2025-25-04 15:25:21,Id_376 CRYT3070188 Could not open tcp connection
CRYT3029691,True,2025-24-04 15:24:22,
CRYT3031522,True,2025-24-04 15:24:23,
CRYT3159402,True,2025-24-04 15:24:23,
CRYT3158666,True,2025-24-04 15:24:23,
CRYT3016729,True,2025-24-04 15:24:23,
CRYT3033545,True,2025-24-04 15:24:23,
CRYT3019719,True,2025-24-04 15:24:30,
CRYT3042326,False,2025-25-04 15:25:22,Id_384 CRYT3042326 Could not open tcp connection
CRYT3160023,True,2025-24-04 15:24:23,
CRYT3161502,True,2025-24-04 15:24:24,
CRYT3159938,False,2025-25-04 15:25:22,Id_387 CRYT3159938 Could not open tcp connection
CRYT3019494,False,2025-25-04 15:25:22,Id_388 CRYT3019494 Could not open tcp connection
CRYT3030114,True,2025-24-04 15:24:25,
CRYT3018386,True,2025-24-04 15:24:25,
CRYT3040135,True,2025-24-04 15:24:32,
CRYT3157364,True,2025-24-04 15:24:26,
CRYT3159675,True,2025-24-04 15:24:26,
CRYT3161589,True,2025-24-04 15:24:26,
CRYT3066078,False,2025-25-04 15:25:25,Id_395 CRYT3066078 Could not open tcp connection
CRYT3040723,True,2025-24-04 15:24:27,
CRYT3068998,True,2025-24-04 15:24:27,
CRYT3026326,True,2025-24-04 15:24:28,
CRYT3073162,True,2025-24-04 15:24:28,
CRYT3074224,True,2025-24-04 15:24:28,
CRYT3026565,True,2025-24-04 15:24:28,
CRYT3019855,False,2025-25-04 15:25:27,Id_402 CRYT3019855 Could not open tcp connection
CRYT3035290,True,2025-24-04 15:24:36,
CRYT3065640,True,2025-24-04 15:24:29,
CRYT3037252,True,2025-24-04 15:24:29,
CRYT3030359,True,2025-24-04 15:24:30,
CRYT3161122,True,2025-24-04 15:24:30,
CRYT3161335,True,2025-24-04 15:24:30,
CRYT3163254,False,2025-25-04 15:25:29,Id_409 CRYT3163254 Could not open tcp connection
CRYT3162936,True,2025-24-04 15:24:31,
CRYT3164494,True,2025-24-04 15:24:38,
CRYT3152554,True,2025-24-04 15:24:38,
CRYT3160966,True,2025-24-04 15:24:32,
CRYT3163091,True,2025-24-04 15:24:32,
CRYT3151818,False,2025-25-04 15:25:31,Id_415 CRYT3151818 Could not open tcp connection
CRYT3074886,False,2025-25-04 15:25:31,Id_416 CRYT3074886 Could not open tcp connection
CRYT3153771,True,2025-24-04 15:24:33,
CRYT3314282,True,2025-24-04 15:24:34,
CRYT3345177,True,2025-24-04 15:24:35,
CRYT3027674,True,2025-24-04 15:24:35,
CRYT3017583,True,2025-24-04 15:24:35,
CRYT3030277,True,2025-24-04 15:24:36,
CRYT3041281,True,2025-24-04 15:24:36,
CRYT3068523,True,2025-24-04 15:24:36,
CRYT3318743,True,2025-24-04 15:24:36,
CRYT3065231,False,2025-25-04 15:25:35,Id_426 CRYT3065231 Could not open tcp connection
CRYT3069568,True,2025-24-04 15:24:37,
CRYT3070547,True,2025-24-04 15:24:37,
CRYT3069149,True,2025-24-04 15:24:37,
CRYT3158786,True,2025-24-04 15:24:37,
CRYT3163202,True,2025-24-04 15:24:38,
CRYT3074633,True,2025-24-04 15:24:38,
CRYT3159046,True,2025-24-04 15:24:38,
CRYT3162920,True,2025-24-04 15:24:38,
CRYT3161067,True,2025-24-04 15:24:39,
CRYT3153195,False,2025-25-04 15:25:36,Id_436 CRYT3153195 Could not open tcp connection
CRYT3018644,True,2025-24-04 15:24:45,
CRYT3033707,True,2025-24-04 15:24:46,
CRYT3027205,True,2025-24-04 15:24:38,
CRYT3067843,True,2025-24-04 15:24:39,
CRYT3033713,False,2025-25-04 15:25:37,Id_441 CRYT3033713 Could not open tcp connection
CRYT3070068,True,2025-24-04 15:24:46,
CRYT3156732,True,2025-24-04 15:24:39,
CRYT3040280,True,2025-24-04 15:24:39,
CRYT3029357,True,2025-24-04 15:24:40,
CRYT3159015,True,2025-24-04 15:24:40,
CRYT3159429,True,2025-24-04 15:24:40,
CRYT3157880,True,2025-24-04 15:24:40,
CRYT3151982,True,2025-24-04 15:24:40,
CRYT3151044,True,2025-24-04 15:24:41,
CRYT3044872,True,2025-24-04 15:24:41,
CRYT3016375,True,2025-24-04 15:24:41,
CRYT3073099,True,2025-24-04 15:24:49,
CRYT3031462,True,2025-24-04 15:24:48,
CRYT3065284,True,2025-24-04 15:24:48,
CRYT3066722,True,2025-24-04 15:24:42,
CRYT3029648,True,2025-24-04 15:24:43,
CRYT3042843,True,2025-24-04 15:24:43,
CRYT3042178,True,2025-24-04 15:24:44,
CRYT3036459,True,2025-24-04 15:24:44,
CRYT3073139,True,2025-24-04 15:24:51,
CRYT3072013,True,2025-24-04 15:24:44,
CRYT3032127,True,2025-24-04 15:24:44,
CRYT3028496,True,2025-24-04 15:24:44,
CRYT3043532,True,2025-24-04 15:24:45,
CRYT3044697,True,2025-24-04 15:24:45,
CRYT3164253,False,2025-25-04 15:25:43,Id_467 CRYT3164253 Could not open tcp connection
CRYT3074898,False,2025-25-04 15:25:43,Id_468 CRYT3074898 Could not open tcp connection
CRYT3163051,False,2025-25-04 15:25:44,Id_469 CRYT3163051 Could not open tcp connection
CRYT3157259,True,2025-24-04 15:24:46,
CRYT3154288,True,2025-24-04 15:24:47,
CRYT3164408,True,2025-24-04 15:24:47,
CRYT3031639,True,2025-24-04 15:24:47,
CRYT3019043,True,2025-24-04 15:24:54,
CRYT3036628,True,2025-24-04 15:24:47,
CRYT3043992,True,2025-24-04 15:24:47,
CRYT3028355,True,2025-24-04 15:24:47,
CRYT3068498,True,2025-24-04 15:24:48,
CRYT3028281,True,2025-24-04 15:24:48,
CRYT3043184,True,2025-24-04 15:24:48,
CRYT3032620,True,2025-24-04 15:24:48,
CRYT3071043,True,2025-24-04 15:24:49,
CRYT3041229,True,2025-24-04 15:24:48,
CRYT3069040,True,2025-24-04 15:24:49,
CRYT3065780,True,2025-24-04 15:24:49,
CRYT3066084,True,2025-24-04 15:24:49,
CRYT3068423,True,2025-24-04 15:24:49,
CRYT3158308,True,2025-24-04 15:24:56,
CRYT3306636,True,2025-24-04 15:24:49,
CRYT3019123,True,2025-24-04 15:24:50,
CRYT3037771,True,2025-24-04 15:24:50,
CRYT3035285,True,2025-24-04 15:24:57,
CRYT3019941,True,2025-24-04 15:24:49,
CRYT3154435,True,2025-24-04 15:24:50,
CRYT3074867,True,2025-24-04 15:24:50,
CRYT3015217,True,2025-24-04 15:24:50,
CRYT3026158,True,2025-24-04 15:24:58,
CRYT3041727,True,2025-24-04 15:24:51,
CRYT3157523,True,2025-24-04 15:24:51,
CRYT3164902,False,2025-25-04 15:25:49,Id_500 CRYT3164902 Could not open tcp connection
CRYT3032297,True,2025-24-04 15:24:51,
CRYT3025908,True,2025-24-04 15:24:58,
CRYT3032257,True,2025-24-04 15:24:59,
CRYT3044547,True,2025-24-04 15:24:52,
CRYT3157681,True,2025-24-04 15:24:52,
CRYT3151107,True,2025-24-04 15:24:52,
CRYT3162171,True,2025-24-04 15:24:52,
CRYT3164610,True,2025-24-04 15:24:53,
CRYT3018287,True,2025-24-04 15:24:53,
CRYT3036103,True,2025-24-04 15:24:53,
CRYT3018042,True,2025-25-04 15:25:00,
CRYT3038794,True,2025-24-04 15:24:53,
CRYT3070133,False,2025-25-04 15:25:52,Id_513 CRYT3070133 Could not open tcp connection
CRYT3069707,True,2025-24-04 15:24:54,
CRYT3018885,True,2025-24-04 15:24:54,
CRYT3315415,True,2025-24-04 15:24:54,
CRYT3304813,False,2025-25-04 15:25:52,Id_517 CRYT3304813 Could not open tcp connection
CRYT3069751,True,2025-24-04 15:24:55,
