MeterNo,IsSuccessful,CompletedOn
CRYT3073729,True,2025-20-04 14:20:51,
CRYT3040298,True,2025-20-04 14:20:52,
CRYT3035453,True,2025-20-04 14:20:53,
CRYT3034230,True,2025-20-04 14:20:53,
CRYT3033977,True,2025-20-04 14:20:54,
CRYT3017904,True,2025-20-04 14:20:54,
CRYT3043108,True,2025-20-04 14:20:54,
CRYT3151678,True,2025-20-04 14:20:54,
CRYT3159623,True,2025-20-04 14:20:55,
CRYT3161314,True,2025-20-04 14:20:56,
CRYT3151321,False,2025-21-04 14:21:53,Id_126 CRYT3151321 Could not open tcp connection
CRYT3074792,True,2025-20-04 14:20:56,
CRYT3160142,True,2025-20-04 14:20:56,
CRYT3156729,True,2025-20-04 14:20:57,
CRYT3155521,True,2025-20-04 14:20:57,
CRYT3155729,True,2025-20-04 14:20:57,
CRYT3154392,True,2025-20-04 14:20:57,
CRYT3158186,True,2025-20-04 14:20:58,
CRYT3030373,True,2025-20-04 14:20:58,
CRYT3032798,True,2025-21-04 14:21:05,
CRYT3040817,True,2025-20-04 14:20:59,
CRYT3072314,True,2025-20-04 14:20:58,
CRYT3026270,True,2025-20-04 14:20:59,
CRYT3033257,True,2025-20-04 14:20:59,
CRYT3018333,True,2025-20-04 14:20:59,
CRYT3031922,True,2025-20-04 14:20:59,
CRYT3042508,False,2025-21-04 14:21:58,Id_142 CRYT3042508 Could not open tcp connection
CRYT3036629,True,2025-21-04 14:21:01,
CRYT3163564,False,2025-21-04 14:21:58,Id_144 CRYT3163564 Could not open tcp connection
CRYT3150434,True,2025-21-04 14:21:01,
CRYT3161271,True,2025-21-04 14:21:01,
CRYT3304552,True,2025-21-04 14:21:02,
CRYT3159667,True,2025-21-04 14:21:02,
CRYT3017216,False,2025-22-04 14:22:01,Id_149 CRYT3017216 Could not open tcp connection
CRYT3037664,True,2025-21-04 14:21:05,
CRYT3027061,True,2025-21-04 14:21:04,
CRYT3069431,True,2025-21-04 14:21:03,
CRYT3067069,True,2025-21-04 14:21:03,
CRYT3072343,True,2025-21-04 14:21:03,
CRYT3030702,False,2025-22-04 14:22:02,Id_155 CRYT3030702 Could not open tcp connection
CRYT3158427,True,2025-21-04 14:21:05,
CRYT3157168,True,2025-21-04 14:21:13,
CRYT3160282,True,2025-21-04 14:21:06,
CRYT3158043,True,2025-21-04 14:21:06,
CRYT3150377,True,2025-21-04 14:21:06,
CRYT3037334,True,2025-21-04 14:21:06,
CRYT3028266,True,2025-21-04 14:21:14,
CRYT3150341,True,2025-21-04 14:21:49,
CRYT3161711,False,2025-22-04 14:22:05,Id_164 CRYT3161711 Could not open tcp connection
CRYT3161945,True,2025-21-04 14:21:07,
CRYT3043240,True,2025-21-04 14:21:08,
CRYT3150184,True,2025-21-04 14:21:09,
CRYT3155901,True,2025-21-04 14:21:10,
CRYT3158738,True,2025-21-04 14:21:10,
CRYT3348964,True,2025-21-04 14:21:10,
CRYT3043687,True,2025-21-04 14:21:11,
CRYT3019631,False,2025-22-04 14:22:09,Id_172 CRYT3019631 Could not open tcp connection
CRYT3073706,True,2025-21-04 14:21:12,
CRYT3069342,True,2025-21-04 14:21:13,
CRYT3069273,False,2025-22-04 14:22:11,Id_175 CRYT3069273 Could not open tcp connection
CRYT3066281,True,2025-21-04 14:21:13,
CRYT3071809,True,2025-21-04 14:21:14,
CRYT3073146,True,2025-21-04 14:21:14,
CRYT3043391,True,2025-21-04 14:21:22,
CRYT3028625,True,2025-21-04 14:21:14,
CRYT3032883,False,2025-22-04 14:22:13,Id_181 CRYT3032883 Could not open tcp connection
CRYT3325287,True,2025-21-04 14:21:22,
CRYT3025458,True,2025-21-04 14:21:16,
CRYT3153360,True,2025-21-04 14:21:17,
CRYT3158702,True,2025-21-04 14:21:17,
CRYT3032346,True,2025-21-04 14:21:17,
CRYT3016049,True,2025-21-04 14:21:17,
CRYT3068267,True,2025-21-04 14:21:25,
CRYT3164461,True,2025-21-04 14:21:18,
CRYT3158792,True,2025-21-04 14:21:18,
CRYT3027088,True,2025-21-04 14:21:33,
CRYT3033887,True,2025-21-04 14:21:34,
CRYT3027364,True,2025-21-04 14:21:21,
CRYT3071470,True,2025-21-04 14:21:22,
CRYT3066626,True,2025-21-04 14:21:22,
CRYT3065102,True,2025-21-04 14:21:23,
CRYT3040306,True,2025-21-04 14:21:22,
CRYT3033965,False,2025-22-04 14:22:21,Id_198 CRYT3033965 Could not open tcp connection
CRYT3067680,True,2025-21-04 14:21:22,
CRYT3070801,False,2025-22-04 14:22:21,Id_200 CRYT3070801 Could not open tcp connection
CRYT3043143,True,2025-21-04 14:21:23,
CRYT3150859,True,2025-21-04 14:21:24,
